reaction_id,condition,flux_mmol_gDCW_h_FBA
PRAIZC1,fructose,0.028362902498120107
12DHFD,fructose,0.0
GUAD,fructose,0.0
NTD1,fructose,0.0
NAt3_2,fructose,0.0
ASNabc,fructose,0.0
NTD2,fructose,0.0
NAt3_1g,fructose,0.060626345527748295
NMNt7,fructose,0.0
NTD3,fructose,0.0
ARGORNt7,fructose,0.0
CBL,fructose,0.0
CYSTBL2,fructose,0.0
ADPT,fructose,0.0
GLYTRS,fructose,0.0
3IPPMD1,fructose,0.0
CYSTBL1,fructose,0.0
3IPPMD2,fructose,0.0
G6PDH2r,fructose,2.7573445995105352
ALRTgp,fructose,0.0
NITOXDR,fructose,0.0
ADNCYC1,fructose,0.0
BZ12DOX,fructose,0.0
BZOTD7,fructose,0.0
NADDP,fructose,0.0
OP4ENH,fructose,0.0
ACMSD,fructose,0.0
BZOTD3,fructose,0.0
BZOTD4,fructose,0.0
BZOTD5,fructose,0.0
NADDP1,fructose,0.0
G1PTT,fructose,0.0
BZOTD1,fructose,0.0
ASPSAD,fructose,-0.3055751594081496
ADPRT2,fructose,0.0
ALCDH_pqq_x,fructose,0.0
ADPRT3,fructose,0.0
ADPRT4,fructose,0.0
KAS14,fructose,0.0
3CMUCC,fructose,0.002488183267070185
BKACPS1,fructose,0.0
ICDHyr,fructose,0.0
ANOXDR,fructose,0.0
IG3PS,fructose,0.0016229876466261166
ACONCt,fructose,0.0
THMabc,fructose,0.0
CYTDA,fructose,0.0
FALDH,fructose,0.0
FDFT1,fructose,0.0
ANDO,fructose,0.0
FDFT2,fructose,0.0
GLBRAN2,fructose,0.0
UPPDC2,fructose,0.0
UPPDC1,fructose,6.623221646158048e-05
GLCNt2r,fructose,0.0
SKDH,fructose,0.1398663306277187
MTTGH,fructose,0.0
PDX5PSb,fructose,0.0
TDSK,fructose,0.001420114190797852
DNMPPA,fructose,0.0
NTRIR2x,fructose,0.0
PPC,fructose,1.3219514824488185
ACYP,fructose,0.0
APPS2,fructose,0.0
SDPTA,fructose,-0.05624368219521241
6CHQt,fructose,0.0
APPS3,fructose,0.0
DPHS,fructose,0.1398663306277187
ARGSL,fructose,0.09251029585768865
PAAD6,fructose,0.0
PAAD5,fructose,0.0
PAAD8,fructose,0.0
PAAD7,fructose,0.0
POX,fructose,0.0
PAAD2,fructose,0.0
PAAD1,fructose,0.0
CITt7,fructose,0.0
PAAD4,fructose,0.0
PLIPASA1E_Nlimit,fructose,0.0
NO3t7,fructose,0.0
PAAD3,fructose,0.0
SPMS3,fructose,0.0
LYStr,fructose,0.0
SPMS,fructose,0.0
COBBP1,fructose,0.0
COBBP2,fructose,0.0
PAAD9,fructose,0.0
AOBZACt,fructose,0.0
VALabc,fructose,0.0
GLXCL,fructose,0.00555276582334656
SHKK,fructose,0.1398663306277187
ARGDC,fructose,0.0
DMQMT,fructose,0.0012530419330569283
NNDMBRT,fructose,0.0
DPCOAK,fructose,0.0012977934306766903
FUCPt6_2,fructose,0.0
NTP3,fructose,0.0
NTP1,fructose,0.0
ILETRS,fructose,0.0
NAt3_15,fructose,0.0
ACBIPGT,fructose,0.0
MCITL2,fructose,0.0
PPS,fructose,0.0
6CHQD,fructose,0.0
OMPHHX,fructose,0.0012530419330569283
GTHS,fructose,0.0
MCLACi,fructose,0.0
PRFGAS,fructose,0.03210412769824722
AHSERL4,fructose,0.0
SCCNAPS,fructose,0.0
INStr,fructose,0.0
ADCL,fructose,0.002228624580936958
HYXNt,fructose,0.0
PANTS,fructose,0.0012977934306766903
DDGD,fructose,0.0
OAHSL1,fructose,0.0
DXPRIi,fructose,0.010223032113840168
BUTt2r,fructose,0.0
SUCCabc,fructose,0.0
SUCCtr,fructose,0.0
ALPNIT,fructose,0.0
PMDPHT,fructose,0.0034369150163847165
IDPD,fructose,0.0
ALADH,fructose,0.0
OPHBDC,fructose,0.0012530419330569283
G3POAT_Nlimit,fructose,0.0
16DCDC4,fructose,0.0
16DCDC3,fructose,0.0
THD2,fructose,0.0
16DCDC2,fructose,0.0
16DCDC1,fructose,0.0
TRSARr,fructose,0.00555276582334656
ETOHt2r,fructose,0.0
THIOLS,fructose,0.0
PTPATi,fructose,0.0012977934306766903
TDPDRR,fructose,0.0
METTRS,fructose,0.0
TRPS2_1,fructose,0.0016229876466261166
TRPS2,fructose,0.0
OXCTD2,fructose,0.0
OXCTD1,fructose,0.0
PHEA4H,fructose,0.0
PMPK,fructose,0.0037412252001271136
CMK,fructose,0.010223032113840168
TRPS1,fructose,0.0
DLACt,fructose,0.0
AG3POAT_Nlimit,fructose,0.0
2H3MBZP,fructose,0.0
TKT1,fructose,0.0020579722033425207
TKT2,fructose,-0.14608738548199893
HXAND,fructose,0.0
3OXAPLC,fructose,0.002488183267070185
ALRTap,fructose,0.0
ALCDd,fructose,0.0
ANS,fructose,0.0016229876466261166
BENZt,fructose,0.0
PGPS,fructose,0.0179005990436704
SADMET,fructose,0.0
UAG4Ei,fructose,0.016146340337390704
MLTGCT,fructose,0.0
MMSAD1m,fructose,0.0
UROCANt,fructose,0.0
ALCDt,fructose,0.0
NTD11,fructose,0.0
GLCNtr,fructose,0.0
DUTPDP,fructose,0.0
ACGK,fructose,0.09251029585768865
NTD10,fructose,0.0
CHOLD,fructose,0.0
CHOLD1,fructose,0.0
CYTDt2,fructose,0.0
LEUabc,fructose,0.0
GRATT,fructose,0.0013192741495185087
DHEDAA,fructose,0.0
P5PPR,fructose,0.0
DHHED1,fructose,0.0
HXMGL,fructose,0.0
ACGS,fructose,0.0
FBMO10,fructose,0.0
FBMO11,fructose,0.0
ANPRT,fructose,0.0016229876466261166
MACR4p,fructose,0.0
FBMO14,fructose,0.0
FBMO15,fructose,0.0
FBMO12,fructose,0.0
FBMO13,fructose,0.0
ASPALAt,fructose,0.0
GLUABUTt7,fructose,0.0
PYAM5PO,fructose,0.0
PHBD,fructose,0.0
GLYK,fructose,0.0
UREAt,fructose,0.0
G3PD2,fructose,0.0
MANpts,fructose,0.0
G3PD5,fructose,0.0
GLCRD,fructose,0.0
4NOXDR,fructose,0.0
2KCHCCH,fructose,0.0
DABOT,fructose,0.0
PGI,fructose,-2.760184827892131
ASO3t1,fructose,0.0
4HTHRS,fructose,0.0
PGK,fructose,-2.57571318788079
ASO3t2,fructose,0.0
SERtr,fructose,0.0
PGM,fructose,-2.2482045736360443
PGL,fructose,2.7573445995105352
GLCRDH,fructose,0.0
NAMNPP,fructose,0.0
AGMT,fructose,0.0
MUCCYCI,fructose,0.0
