,loopless
USHD,0.0009443658846591964
ADIPt,0.0
PGLYCP,0.0
BENZOTt,0.0
DHPS,0.0014820195710933185
PNTOt4,0.0
DHPS2,0.0
UDPGD,0.0
HYD1,8.808791024972335e-05
GUAt,0.0
KNTt,0.0
THMDt2,0.0
GUAt2,0.0
PACt,0.0
FORA,0.0
Maintenance,0.0
CRNt7,0.0
HEXTT,0.0
OTO4BZ,0.0
URIDK2r,0.0
OBTFL,0.0042499678829196474
FBMO15p,0.0
ALR2,0.0
ETHAAL,0.0
PGRPP,0.0036925499674951598
LEUTA,0.07042271311315722
ADIPL,0.0
CO2t,-3.9276843443214227
CRNBTCT,0.0
SO4t,0.04031609063478892
UDCPDP,0.011903771655368019
3HBZOR,0.0
ARGSS,0.061518691914941935
ACKr,0.0
GSPMDS,0.0
ENCOAR,0.0
TSULabc,0.0
ACOATA,0.028835375056010165
NITORT,0.0
PHCHGS,0.0
LPADSS,0.0009443658846591964
CBIAT,0.0
CBIAT1,0.0
3HBCD,0.0
ORNabc,0.0
BACCL,0.0
NT5C,0.0
LEUtr,0.0
KNAKGT,0.0
2PGt,0.0
PACCOAL,0.0
NTD13,0.0
CYTK1,0.026092670676178174
CYTK2,0.0
LLACtr,0.0
