sgRNA	readcount	timepoint	induction	sample
ssr2549_52	1	0h	u	1
Entry1796_27	1	0h	u	1
sll1560_63	1378	0h	u	1
slr1074_73	71	0h	u	1
Entry604_59	302	0h	u	1
Entry1883_88	434	0h	u	1
Entry230_1	1	0h	u	1
ssl0410_52	71	0h	u	1
hemE_26	77	0h	u	1
sll5049_22	2	0h	u	1
Entry1736_82	71	0h	u	1
Entry127_31	197	0h	u	1
slr7026_97	2	0h	u	1
sll1895_70	159	0h	u	1
Entry221_9	207	0h	u	1
ycf22_2_17	3	0h	u	1
Entry1163_4	217	0h	u	1
slr1470_16	108	0h	u	1
sps_82	173	0h	u	1
slr0320_132	147	0h	u	1
ruvA_105	475	0h	u	1
lig_17	177	0h	u	1
slr0373_80	274	0h	u	1
sll1455_34	2	0h	u	1
Entry9_71	116	0h	u	1
Entry611_60	337	0h	u	1
Entry882_30	121	0h	u	1
Entry2053_31	1	0h	u	1
sll1791_272	354	0h	u	1
slr2141_31	96	0h	u	1
Entry763_98	211	0h	u	1
chlN_19	181	0h	u	1
Entry512_40	1	0h	u	1
slr1394_62	195	0h	u	1
mgtC_109	136	0h	u	1
Entry1684_2	105	0h	u	1
ssl7074_62	138	0h	u	1
ccmK4_4	153	0h	u	1
slr1421_115	1	0h	u	1
ftsH3_35	388	0h	u	1
Entry1897_135	2	0h	u	1
sll0797_100	71	0h	u	1
Entry1650_87	278	0h	u	1
Entry1122_83	113	0h	u	1
Entry1569_27	1003	0h	u	1
sll1982_55	1	0h	u	1
slr0730_4	418	0h	u	1
Entry1655_60	143	0h	u	1
slr0788_60	317	0h	u	1
pstA2_4	33	0h	u	1
Entry2021_18	142	0h	u	1
Entry723_43	453	0h	u	1
xthA_27	466	0h	u	1
Entry1338_35	87	0h	u	1
brkB_16	97	0h	u	1
Entry1574_63	97	0h	u	1
sll7070_157	215	0h	u	1
Entry655_21	225	0h	u	1
gdhB_32	234	0h	u	1
sll0788_41	672	0h	u	1
Entry377_22	239	0h	u	1
sll5047_4	33	0h	u	1
sll1660_31	141	0h	u	1
Entry461_58	272	0h	u	1
slr8026_12	455	0h	u	1
slr0210_40	536	0h	u	1
Entry2035_2	15	0h	u	1
slr2027_67	155	0h	u	1
Entry1971_51	297	0h	u	1
Entry1776_20	198	0h	u	1
sll0318_32	259	0h	u	1
slr2049_55	3	0h	u	1
slr2045_37	190	0h	u	1
Entry115_68	850	0h	u	1
slr0222_3	1	0h	u	1
sll1515_41	1	0h	u	1
Entry1615_28	109	0h	u	1
Entry2051_75	1	0h	u	1
birA_17	2	0h	u	1
sll1913_94	288	0h	u	1
slr2025_21	3	0h	u	1
sll1252_65	357	0h	u	1
Entry1078_8	390	0h	u	1
purA_71	113	0h	u	1
prfB_26	338	0h	u	1
sll1482_23	147	0h	u	1
slr0645_26	232	0h	u	1
Entry8_1	123	0h	u	1
Entry1146_33	140	0h	u	1
lytR_56	123	0h	u	1
Entry871_36	156	0h	u	1
Entry1959_68	115	0h	u	1
Entry1648_44	1	0h	u	1
entC_4	213	0h	u	1
miaA_37	92	0h	u	1
Entry1008_64	103	0h	u	1
folP_157	147	0h	u	1
ndhC_110	127	0h	u	1
Entry1564_9	20	0h	u	1
Entry1477_159	172	0h	u	1
ccmA_25	86	0h	u	1
slr0195_26	274	0h	u	1
slr7016_102	130	0h	u	1
Entry2112_40	216	0h	u	1
ssl0426_78	84	0h	u	1
slr0680_98	221	0h	u	1
Entry1452_27	355	0h	u	1
ssl1922_28	420	0h	u	1
Entry1481_49	1	0h	u	1
sll1373_5	186	0h	u	1
ssl0331_66	231	0h	u	1
Entry1106_74	1	0h	u	1
slr1752_33	143	0h	u	1
alr_28	1	0h	u	1
slr1957_43	209	0h	u	1
sphX_23	4	0h	u	1
Entry310_25	159	0h	u	1
Entry209_89	247	0h	u	1
sll5063_32	226	0h	u	1
chrA_13	122	0h	u	1
Entry2040_42	1	0h	u	1
Entry2104_59	1	0h	u	1
sll1544_34	2	0h	u	1
sll0005_18	200	0h	u	1
sll0733_68	164	0h	u	1
Entry267_4	95	0h	u	1
sll1068_56	140	0h	u	1
phr_29	150	0h	u	1
slr0734_40	2	0h	u	1
slr0728_43	130	0h	u	1
slr1101_14	165	0h	u	1
Entry738_86	100	0h	u	1
Entry1067_85	200	0h	u	1
Entry307_82	2	0h	u	1
Entry1957_48	122	0h	u	1
exsB_26	208	0h	u	1
slr0483_70	129	0h	u	1
asd_43	26	0h	u	1
Entry494_114	151	0h	u	1
petC2_171	114	0h	u	1
lspA_16	78	0h	u	1
Entry1594_41	2	0h	u	1
Entry1330_77	2	0h	u	1
Entry333_91	156	0h	u	1
Entry97_50	125	0h	u	1
Entry942_55	2	0h	u	1
sll6036_248	1	0h	u	1
sll1389_76	62	0h	u	1
Entry1142_30	176	0h	u	1
Entry1366_23	78	0h	u	1
hpcE_23	260	0h	u	1
slr0058_99	196	0h	u	1
Entry571_92	2	0h	u	1
sll7028_73	2	0h	u	1
slr0640_40	196	0h	u	1
rnpA_49	149	0h	u	1
Entry1344_5	182	0h	u	1
slr6090_403	127	0h	u	1
ssr2551_41	2	0h	u	1
gspD_55	472	0h	u	1
sll0038_9	1	0h	u	1
dapF_4	254	0h	u	1
dnaA_7	190	0h	u	1
slr1770_77	386	0h	u	1
slr5022_31	98	0h	u	1
