Protein,Location,FRC 0.05,FRC 0.1,FRC 0.15,FRC 0.2,FRC 0.25
H16_A0141,Cytoplasm,1.095692778995575e-4,1.0453933016837933e-4,1.2032074475547964e-4,1.2886380937049825e-4,1.3154126164203241e-4
H16_A0142,Cytoplasm,1.649316711578584e-5,3.870671520093732e-6,4.369387931893202e-6,6.773987101826601e-6,1.1596401732450503e-5
H16_A0143,Cytoplasm,2.1952824541349552e-4,2.673193501314298e-4,2.5735152269245297e-4,2.2337940546889422e-4,3.5136333527848124e-4
H16_A0144,Cytoplasm,1.0361458625703292e-4,9.666485909275227e-5,7.473700293626135e-5,6.751020643052435e-5,5.809500793352831e-5
H16_A0145,Cytoplasm,1.3865889364831179e-5,3.117064401369127e-5,3.231858941161388e-5,2.1063852042847496e-5,1.5815224002827406e-5
H16_A0146,Cytoplasm,3.302924629850682e-5,1.2460130832470726e-5,1.3691598731907931e-5,2.5776413164288547e-5,1.860047881853547e-5
H16_A0147,Cytoplasm,2.3099503076255844e-4,1.2379401016172713e-4,9.881293120471943e-5,6.28563989884974e-5,6.666060351051972e-5
H16_A0148,Cytoplasm,4.678757096538017e-6,3.7208782787436225e-6,4.0154916567864135e-6,3.679363641881604e-6,6.108688908353349e-6
H16_A0149,Cytoplasm,2.0254056727605287e-4,1.378738565296064e-4,1.2190477829626288e-4,8.06575571017921e-5,6.833797772580961e-5
H16_A0150,Cytoplasm,5.340889292234264e-4,6.547860780479781e-4,9.956167899364894e-4,0.0013780197293172985,0.0018037773229821795
H16_A0151,Cytoplasm,1.0076685461243489e-4,1.2475565676156315e-4,1.3955136898538816e-4,1.1767947720414475e-4,9.547422583066271e-5
H16_A0152,Cell_membrane,5.221860894803533e-5,1.2835201969734345e-4,1.278736380381861e-4,4.2901381155766666e-5,3.304643719234879e-4
H16_A0153,Cytoplasm,1.5639600502087973e-4,1.3507169970397728e-4,1.257207135625593e-4,1.5060966808283675e-4,1.0224373177898161e-4
H16_A0154,Cytoplasm,1.4273531418866171e-5,6.590315254987692e-6,5.2023691170193115e-6,7.32940884267239e-6,3.5852061684279396e-6
H16_A0155,Cell_membrane,NaN,NaN,NaN,NaN,7.859135381026133e-6
H16_A0157,Cytoplasm,8.106471931379148e-5,5.25248486658354e-5,2.9265741460044213e-5,2.2892417705419634e-5,2.51649011898473e-5
H16_A0158,Cytoplasm,0.0021571425812050497,7.809778632445056e-4,7.063183783057785e-4,4.7239615212965017e-4,4.532930762623092e-4
H16_A0159,Cytoplasm,1.699499512782468e-4,2.0079652038326978e-4,2.355438051396293e-4,2.313208075048819e-4,2.9186569698320134e-4
H16_A0160,Cytoplasm,8.910948277662078e-5,4.451241001425979e-5,8.194200024731453e-5,1.3667862747770672e-4,6.602425635081356e-5
