gene,model,barseq
H16_A1456,1,1
H16_A0352,0,0
H16_B2421,0,0
H16_B0319,0,0
H16_A2552,0,1
H16_B0216,0,0
H16_A0513,0,0
H16_A2987,0,0
H16_B0280,0,0
H16_A2981,0,0
H16_A2551,0,0
H16_A2718,0,0
H16_A0227,1,0
H16_A0236,0,0
H16_A2607,1,0
H16_B2130,0,0
H16_A0477,0,0
H16_A3223,1,0
H16_B0145,0,0
H16_B2234,0,0
H16_A1753,0,0
H16_B1300,0,0
H16_A1374,0,0
H16_B2233,0,0
H16_A2457,0,0
H16_B1016,0,0
H16_A1375,0,0
H16_B0146,0,0
H16_B1255,0,0
H16_A0458,0,0
H16_B2446,0,0
H16_A1197,0,0
H16_B1291,0,0
H16_A1225,0,1
H16_A0932,0,0
H16_A2456,0,0
H16_A1529,0,0
H16_A2997,1,0
H16_A2133,0,0
H16_A2619,0,0
H16_A3649,0,0
H16_A3013,0,0
H16_A1109,0,0
H16_A1306,0,0
H16_B2438,0,0
H16_A2078,0,0
H16_B2265,0,0
H16_B2268,0,1
H16_B2267,0,0
H16_B2266,0,0
H16_B0776,0,0
H16_B0546,0,0
H16_A0211,0,0
H16_A3154,0,1
H16_A2266,0,0
H16_A0259,1,1
H16_A1457,1,1
H16_B0618,0,0
H16_B2191,0,0
H16_A2335,0,1
H16_A0666,0,0
H16_A2102,0,0
H16_A2739,0,0
H16_A2215,0,0
H16_A3488,0,0
H16_B0612,0,0
H16_A3533,0,0
H16_A0224,0,0
H16_A3212,0,0
H16_A3213,0,0
H16_A2744,0,1
H16_A3222,0,0
H16_B0295,0,0
H16_B0420,0,0
H16_B1905,0,0
H16_B0659,0,0
H16_B0698,0,0
H16_A2979,0,0
H16_A0142,0,0
H16_B0756,0,0
H16_A3594,0,0
H16_A0810,0,0
H16_A1889,0,0
H16_A1885,0,0
H16_A3311,0,0
H16_B0848,0,1
H16_B1742,0,1
H16_A2258,0,0
H16_A0100,0,0
H16_B1188,0,0
H16_A2138,0,0
H16_A3593,0,0
H16_A1719,0,1
H16_B2156,0,0
H16_B0419,0,1
H16_A0461,0,0
H16_A1101,0,0
H16_B1346,0,0
H16_A1699,0,0
H16_B1914,0,0
H16_B0657,0,1
H16_B1439,0,1
H16_A0873,0,0
H16_A0179,0,0
H16_B0365,0,0
H16_B0382,0,1
H16_B2478,0,0
H16_A0865,0,0
H16_A3201,0,0
H16_B1741,0,1
H16_A1410,0,0
H16_B1738,0,0
H16_A0464,0,0
H16_A1832,0,0
H16_B0402,0,0
H16_B0389,0,0
H16_B1773,0,0
H16_B0915,0,0
H16_A1716,0,0
H16_B1441,0,0
H16_B0345,0,0
H16_A3012,0,0
H16_B1358,0,0
H16_B1939,0,0
H16_A0804,1,0
H16_B0611,0,0
H16_B1386,0,0
H16_A3146,0,1
H16_A3018,0,0
H16_A0151,0,0
H16_A0797,0,0
H16_B1371,0,0
H16_B0850,0,0
H16_B0485,0,0
H16_A0172,0,0
H16_B0752,0,0
H16_A1047,0,0
H16_B2286,0,0
H16_A2758,0,0
H16_B0321,0,0
H16_B0913,0,0
H16_B1332,0,0
H16_B1192,0,0
H16_B0660,0,0
H16_B0665,0,0
H16_A0816,0,0
H16_B0975,0,0
H16_B0703,0,0
H16_B0356,0,0
H16_B0087,0,0
H16_A0101,0,0
H16_B2158,0,0
H16_B0722,0,0
H16_B0661,0,0
H16_B0721,0,0
H16_A1068,0,0
H16_B0849,0,0
H16_B0664,0,0
H16_A0863,0,0
H16_B0400,0,1
H16_B0676,0,0
H16_A0460,0,0
H16_B1481,0,0
H16_B0909,0,0
H16_B0384,0,0
H16_B0395,0,0
H16_B0751,0,0
H16_B0396,0,0
H16_A1067,0,0
H16_B0704,0,0
H16_B1694,0,0
H16_B0383,0,1
H16_B1826,0,0
H16_A0843,0,0
H16_B0379,0,0
H16_B1367,0,0
H16_B0580,0,0
H16_B0683,0,0
H16_A2596,0,0
H16_B0014,0,0
H16_A1530,0,0
H16_B0938,0,0
H16_A2458,0,0
H16_B0360,0,0
H16_B2157,0,0
H16_B2126,0,1
H16_B2014,0,0
H16_A1732,0,1
H16_B2013,0,0
H16_B0814,0,1
H16_B1666,0,0
H16_B1643,0,0
H16_A1734,0,0
H16_A3386,0,0
H16_A1546,0,0
H16_A1465,0,0
H16_A2086,0,0
H16_B2069,0,0
H16_B1172,0,0
H16_A3244,0,0
H16_A2638,0,0
H16_B0568,0,0
H16_B0875,0,0
H16_B1152,0,0
H16_A2211,0,0
H16_A2227,0,0
H16_A2883,1,1
H16_A0856,0,0
H16_A0845,0,0
